LotFrontage,LotArea,OverallQual,OverallCond,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,HeatingQC,1stFlrSF,2ndFlrSF,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,PoolArea,TotalSF,TotalBath,TotalPorchSF,YearBuildAgo,YearRemodAddAgo,GarageYrBltAgo,MoSoldAgo,BsmtFinQuality1,OverallQual_x_TotalSF,MSZoning_FV,MSZoning_RL,MSZoning_RM,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_IDOTRR,Neighborhood_NAmes,Neighborhood_OldTown,Neighborhood_Sawyer,Neighborhood_Somerst,Neighborhood_StoneBr,Foundation_CBlock,Foundation_PConc,CentralAir_Y,GarageType_Attchd,GarageType_CarPort,SaleType_New,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Partial,SalePrice
44.0,4224,5,7,0.0,3,3,4,1,840.0,0.0,200.0,3,1060,0,1060,3,1,3,6,0,1,3,1,2.0,572.0,3,3,0,100,110,0,0,0,2100.0,2.0,210,34,34,34.0,42,5.0,10500.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False,11.774527900858468
72.0,8246,5,8,0.0,3,4,3,2,188.0,668.0,204.0,5,1060,0,1060,3,1,4,6,0,1,3,1,1.0,270.0,3,3,0,406,90,0,0,0,2120.0,2.0,496,42,9,42.0,7,3.5,10600.0,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False,False,True,False,11.944714374881176
110.0,14230,8,5,640.0,4,3,4,1,0.0,0.0,1566.0,5,1600,0,1600,3,1,4,7,0,1,4,2,3.0,890.0,3,3,0,0,56,0,0,0,3166.0,2.0,56,3,3,3.0,17,1.0,25328.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False,12.454107814022272
60.0,7200,5,7,0.0,3,3,3,2,234.0,486.0,180.0,3,900,0,900,3,1,4,5,0,0,0,1,2.0,576.0,3,3,0,222,32,0,0,0,1800.0,1.5,254,59,10,5.0,7,3.0,9000.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,11.811554895830454
98.0,11478,8,5,200.0,4,3,5,1,1218.0,0.0,486.0,5,1704,0,1704,3,1,4,7,0,1,4,2,3.0,772.0,3,3,0,0,50,0,0,0,3408.0,3.0,50,3,2,2.0,7,5.0,27264.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False,12.631343648903034
47.0,16321,5,6,0.0,3,3,3,4,1277.0,0.0,207.0,3,1600,0,1600,2,1,3,6,0,2,4,2,1.0,319.0,3,3,0,288,258,0,0,0,3084.0,2.0,546,53,13,53.0,48,3.0,15420.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False,False,True,False,12.242891437918386
60.0,6324,4,6,0.0,3,3,3,1,0.0,0.0,520.0,2,520,0,520,1,1,2,4,0,0,0,1,1.0,240.0,2,3,0,49,0,87,0,0,1040.0,1.0,136,83,60,90.0,31,1.0,4160.0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,11.134603622683905
50.0,8500,4,4,0.0,3,2,3,1,0.0,0.0,649.0,3,649,668,1317,3,1,3,6,0,0,0,1,1.0,250.0,3,2,2,0,54,172,0,0,1966.0,1.0,226,90,60,90.0,29,1.0,7864.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,10.596659732783579
72.0,8544,5,6,0.0,3,3,3,1,0.0,0.0,1228.0,4,1228,0,1228,3,1,4,6,0,0,0,1,1.0,271.0,3,3,0,0,65,0,0,0,2456.0,1.5,65,44,4,44.0,30,1.0,12280.0,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False,False,True,False,11.914054519303125
85.0,11049,8,5,0.0,4,3,5,3,0.0,0.0,1234.0,5,1234,0,1234,3,1,4,7,0,0,0,2,2.0,484.0,3,3,0,0,30,0,0,0,2468.0,2.0,30,3,3,3.0,35,1.0,19744.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False,12.100161978566867
70.0,10552,5,5,0.0,3,3,3,1,1018.0,0.0,380.0,4,1700,0,1700,4,1,4,6,0,1,4,2,2.0,447.0,3,3,0,0,38,0,0,0,3098.0,2.0,38,51,51,51.0,8,3.5,15490.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False,False,True,False,12.016732516077072
60.0,7313,9,5,246.0,5,3,5,1,1153.0,0.0,408.0,5,1561,0,1561,2,1,5,6,0,1,4,3,2.0,556.0,3,3,0,203,47,0,0,0,3122.0,3.0,250,5,5,5.0,40,5.0,28098.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False,12.533579815765737
108.0,13418,8,5,132.0,4,3,5,3,0.0,0.0,1117.0,5,1132,1320,2452,4,1,4,9,0,1,4,3,3.0,691.0,3,3,0,113,32,0,0,0,3569.0,3.5,145,6,5,6.0,51,1.0,28552.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,12.6410997921206
112.0,10859,5,5,0.0,3,3,4,1,0.0,0.0,1097.0,5,1097,0,1097,3,1,3,6,0,0,0,1,2.0,672.0,3,3,0,392,64,0,0,0,2194.0,1.5,456,16,15,15.0,18,1.0,10970.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False,11.884495917930655
74.0,8532,5,6,650.0,3,3,3,1,1213.0,0.0,84.0,4,1297,0,1297,3,1,3,5,0,1,3,3,2.0,498.0,3,3,0,0,0,0,0,0,2594.0,1.5,0,56,20,56.0,14,3.5,12970.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False,False,True,False,11.938199736300925
68.0,7922,5,7,0.0,3,4,3,1,731.0,0.0,326.0,3,1057,0,1057,3,1,4,5,0,0,0,1,1.0,246.0,3,3,0,0,52,0,0,0,2114.0,2.0,52,57,3,57.0,11,5.0,10570.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,11.599112335481124
65.0,6040,4,5,0.0,3,3,0,0,0.0,0.0,0.0,3,1152,0,1152,2,2,2,6,0,0,0,0,0.0,0.0,0,0,2,0,0,0,0,0,1152.0,2.0,0,55,55,2010.0,30,0.0,4608.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,11.314486721293981
84.0,8658,6,5,101.0,3,3,3,1,643.0,0.0,445.0,5,1324,0,1324,3,1,3,6,0,1,3,2,2.0,440.0,3,3,0,0,138,0,0,0,2412.0,2.0,138,45,45,45.0,48,3.5,14472.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False,False,False,False,11.982935344196433
115.0,16905,5,6,0.0,3,4,3,4,967.0,0.0,383.0,4,1328,0,1328,2,1,3,5,0,2,4,2,1.0,308.0,3,3,1,0,104,0,0,0,2678.0,2.0,104,51,51,51.0,41,3.0,13390.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,False,12.04355959836804
67.0,9180,5,7,0.0,3,3,4,3,747.0,93.0,0.0,4,884,0,884,2,1,4,5,0,0,0,2,2.0,504.0,3,4,0,240,0,0,0,0,1724.0,2.0,240,27,27,27.0,36,4.0,8620.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,False,11.87757552297847
70.0,9200,5,6,0.0,3,3,4,3,280.0,491.0,167.0,3,938,0,938,3,1,3,5,0,0,0,1,1.0,308.0,3,3,0,145,0,0,0,0,1876.0,2.0,145,35,30,33.0,29,2.0,9380.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,11.777218637129327
70.0,7945,5,6,0.0,3,3,3,1,179.0,506.0,465.0,5,1150,0,1150,3,1,3,6,0,0,0,2,1.0,300.0,3,3,0,0,0,0,0,0,2300.0,2.0,0,51,51,51.0,55,4.0,11500.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False,False,True,False,11.856522261533737
61.0,7658,9,5,412.0,5,3,5,1,456.0,0.0,1296.0,5,1752,0,1752,2,1,5,6,0,1,4,2,2.0,576.0,3,3,0,196,82,0,0,0,3504.0,3.0,278,5,5,5.0,10,5.0,31536.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False,12.675766851909591
48.0,12822,7,5,0.0,4,3,5,1,1351.0,0.0,83.0,5,1518,631,2149,1,1,4,6,0,1,5,2,2.0,670.0,3,3,0,168,43,0,198,0,3583.0,2.5,409,7,7,7.0,16,5.0,25081.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,12.387089184491993
84.0,11096,8,5,0.0,4,3,4,3,24.0,0.0,1632.0,5,1656,0,1656,3,1,4,7,0,0,0,2,3.0,826.0,3,3,0,0,146,0,0,0,3312.0,2.0,146,4,4,4.0,41,5.0,26496.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,False,True,False,12.428019481065613
33.0,4456,4,5,0.0,3,3,3,1,0.0,0.0,736.0,4,736,716,1452,2,3,3,8,0,0,0,0,0.0,0.0,0,0,2,0,0,102,0,0,2188.0,2.0,102,90,2,2010.0,18,1.0,8752.0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,11.635151947212842
66.0,7742,5,7,0.0,3,3,3,1,763.0,0.0,192.0,5,955,0,955,3,1,3,6,0,0,0,1,1.0,386.0,3,3,0,0,0,0,0,0,1910.0,2.0,0,44,44,44.0,47,3.0,9550.0,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False,False,True,False,11.751950239425476
64.0,13869,6,6,0.0,3,3,4,3,182.0,0.0,612.0,4,794,676,1470,3,1,3,6,0,0,0,3,2.0,388.0,3,3,0,0,75,0,0,0,2264.0,2.5,75,13,13,13.0,41,5.0,13584.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False,12.083910661257521
52.0,6240,6,6,0.0,3,3,3,1,0.0,0.0,816.0,3,816,0,1176,3,1,3,6,0,1,4,1,2.0,528.0,3,3,0,112,0,0,0,0,1632.0,1.0,112,76,60,25.0,51,1.0,9792.0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,11.648338835562747
110.0,8472,5,5,0.0,2,3,4,4,104.0,712.0,0.0,3,816,0,816,2,1,3,5,0,0,0,1,2.0,516.0,3,3,0,106,0,0,0,0,1632.0,2.0,106,47,47,47.0,7,2.0,8160.0,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,11.608244735642321
68.0,50271,9,5,0.0,4,3,5,4,1810.0,0.0,32.0,4,1842,0,1842,0,1,4,5,0,1,4,3,3.0,894.0,3,3,0,857,72,0,0,0,3684.0,2.5,929,29,23,29.0,49,5.0,33156.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,False,12.861001210669146
60.0,7134,5,5,0.0,3,3,3,1,384.0,0.0,0.0,3,1360,0,1360,3,1,3,6,2,1,3,1,2.0,572.0,3,3,0,0,50,0,0,0,1744.0,1.0,50,55,55,48.0,46,4.0,8720.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,11.775297421715827
100.0,10175,6,5,272.0,3,3,3,1,490.0,0.0,935.0,4,1425,0,1425,3,1,3,7,0,1,4,2,2.0,576.0,3,3,0,0,0,0,0,0,2850.0,2.0,407,46,46,46.0,29,3.0,17100.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False,False,True,False,12.103491596905931
24.0,2645,8,5,456.0,4,3,4,1,649.0,0.0,321.0,5,983,756,1739,3,1,4,7,0,0,0,3,2.0,480.0,3,3,0,115,0,0,0,0,2709.0,3.5,115,11,10,11.0,16,5.0,21672.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,False,False,False,12.058158312538197
89.0,11645,7,5,0.0,4,3,4,1,0.0,0.0,860.0,5,860,860,1720,3,1,4,7,0,0,0,2,2.0,565.0,3,3,0,0,70,0,0,0,2580.0,2.5,70,6,6,6.0,52,1.0,18060.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False,12.188422799337028
66.0,13682,10,5,1031.0,5,3,5,4,0.0,0.0,1410.0,5,1426,1519,2945,3,1,4,10,0,1,4,3,3.0,641.0,3,3,0,192,0,37,0,0,4355.0,3.5,229,4,4,4.0,50,1.0,43550.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,True,12.991755706536901
60.0,7200,5,7,0.0,3,3,3,3,632.0,0.0,148.0,5,780,0,780,2,1,3,4,0,0,0,1,1.0,352.0,3,3,0,196,0,0,0,0,1560.0,1.0,196,38,38,37.0,35,4.0,7800.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,11.735276702486741
63.0,13072,6,5,0.0,3,3,4,1,941.0,0.0,217.0,5,1158,0,1158,3,1,4,5,0,0,0,1,2.0,576.0,3,3,0,0,50,0,0,0,2316.0,2.5,50,6,6,4.0,55,4.0,13896.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,11.970356641102999
60.0,7200,5,7,0.0,3,3,3,1,0.0,0.0,530.0,3,581,530,1111,3,1,2,6,0,0,0,1,1.0,288.0,3,3,2,0,0,144,0,0,1641.0,1.0,144,90,14,75.0,45,1.0,8205.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,11.522885696764481
44.0,6442,8,5,178.0,4,3,4,2,24.0,0.0,1346.0,5,1370,0,1370,2,1,4,6,0,1,4,2,2.0,484.0,3,3,0,120,49,0,0,0,2740.0,2.0,169,4,4,4.0,38,5.0,21920.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False,12.218500103788143
50.0,10300,7,6,0.0,3,3,3,1,0.0,0.0,576.0,4,902,808,1710,3,1,3,9,0,0,0,1,2.0,480.0,3,3,0,12,11,64,0,0,2286.0,2.0,87,89,60,20.0,8,1.0,16002.0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,11.849404844423074
70.0,9375,7,5,573.0,3,3,4,1,739.0,0.0,318.0,5,1057,977,2034,3,1,4,8,0,0,0,2,2.0,645.0,3,3,0,576,36,0,0,0,3091.0,3.5,612,13,12,12.0,22,5.0,21637.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False,12.299112067295642
76.0,9591,8,5,344.0,4,3,5,3,0.0,0.0,1143.0,5,1143,1330,2473,4,1,4,9,0,1,4,2,3.0,852.0,3,3,0,192,151,0,0,0,3616.0,2.5,343,6,5,6.0,38,1.0,28928.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,12.666660207428574
73.0,19900,7,5,287.0,3,3,4,4,912.0,0.0,1035.0,3,2207,0,2207,3,1,3,7,2,1,4,2,2.0,576.0,3,3,0,301,0,0,0,0,4154.0,3.0,301,40,21,40.0,5,5.0,29078.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False,False,True,False,12.100717685412471
72.0,10665,7,5,167.0,4,3,4,3,1013.0,0.0,440.0,5,1479,0,1479,3,1,4,7,0,0,0,2,2.0,558.0,3,3,0,144,29,0,0,0,2932.0,3.0,173,7,7,7.0,42,5.0,20524.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False,12.328294703023396
47.0,4608,4,6,0.0,3,4,3,1,0.0,0.0,747.0,3,747,0,747,2,1,3,4,0,0,0,1,1.0,220.0,3,3,0,0,0,0,0,0,1494.0,1.0,0,65,60,65.0,6,1.0,5976.0,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,False,True,False,11.289794413577894
81.0,15593,7,4,0.0,4,3,3,1,603.0,0.0,701.0,3,1304,983,2287,3,1,3,7,0,1,3,3,2.0,667.0,3,3,0,0,21,114,0,0,3591.0,2.0,135,57,57,57.0,53,3.0,25137.0,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,False,12.323860125621126
95.0,13651,7,6,1115.0,3,4,4,4,1880.0,0.0,343.0,5,2223,0,2223,3,1,3,8,0,2,4,3,2.0,516.0,3,3,0,300,0,0,0,0,4446.0,3.0,300,37,37,37.0,46,4.0,31122.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False,False,True,False,12.404927602627597
69.0,7599,4,6,0.0,3,3,3,1,565.0,0.0,280.0,3,845,0,845,2,1,3,4,0,0,0,1,2.0,360.0,3,3,0,0,0,0,0,0,1690.0,2.0,0,28,4,23.0,42,4.0,6760.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,11.771443882099637
74.0,10141,7,5,40.0,3,3,4,1,0.0,0.0,832.0,4,885,833,1718,3,1,3,7,0,1,3,3,2.0,427.0,3,3,0,0,94,0,291,0,2550.0,2.5,385,12,12,12.0,12,1.0,17850.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False,12.128116509451258
85.0,10200,5,7,104.0,3,3,3,1,320.0,362.0,404.0,4,1086,0,1086,3,1,3,6,0,0,0,1,2.0,490.0,3,3,0,0,0,0,0,0,2172.0,2.0,0,56,7,21.0,7,4.0,10860.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False,False,True,False,11.88380602959621
60.0,5790,3,6,0.0,4,4,2,1,0.0,0.0,840.0,4,840,765,1605,3,2,3,8,0,0,0,1,1.0,379.0,3,3,0,0,0,202,0,0,2445.0,2.0,202,95,60,95.0,7,1.0,7335.0,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,11.58432477200052
21.0,1596,4,5,0.0,3,3,4,4,462.0,0.0,0.0,3,526,462,988,2,1,3,5,0,0,0,1,1.0,297.0,3,3,0,120,101,0,0,0,1450.0,2.0,221,37,37,37.0,13,5.0,5800.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,11.418625774449598
